Incident Number,Property Code,Property Use Description,Property Use Category,Incident Code,Primary Type Category,Sub Type Category,Aid Given or Received,Incident Date and Time,First Unit Dispatched,First Unit Arrived,All Units Clear,Total First Unit Response Time,Total Time Committed,shift,Incident Location Area,Number of Apparatus Assigned,Number of Personnel Assigned, Property Value , Property Lost , Contents Value , Contents Lost 
16-0002241,439,Boarding/Rooming house.,Residential,531,No Hazard,ASSIST,None,3/27/2016 14:06,3/27/2016 14:05,3/27/2016 14:10,3/27/2016 14:28,0:05:00,0:22:41,A,4,2,8, $-   , $-   , $-   , $-   
16-0002242,965,Vehicle parking area.,Outside,321,Medical,EMS,Automatic Aid Received,3/27/2016 15:34,3/27/2016 15:33,3/27/2016 15:39,3/27/2016 16:04,0:05:57,0:31:04,A,3,1,4, $-   , $-   , $-   , $-   
16-0002243,429,Multifamily dwelling.,Residential,911,No Hazard,OTHER,None,3/27/2016 19:02,3/27/2016 19:00,3/27/2016 19:06,3/27/2016 19:09,0:05:49,0:09:10,A,2,1,4, $-   , $-   , $-   , $-   
16-0002244,500,"Mercantile, business, other.",Business,321,Medical,EMS,None,3/27/2016 19:11,3/27/2016 19:11,3/27/2016 19:15,3/27/2016 19:24,0:03:57,0:13:29,A,3,1,4, $-   , $-   , $-   , $-   
16-0002245,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/27/2016 19:12,3/27/2016 19:11,3/27/2016 19:18,3/27/2016 19:32,0:07:32,0:21:36,A,3,1,3, $-   , $-   , $-   , $-   
16-0002246,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,3/27/2016 20:03,3/27/2016 20:03,3/27/2016 20:07,3/27/2016 20:11,0:04:01,0:08:48,A,3,1,4, $-   , $-   , $-   , $-   
16-0002247,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/28/2016 2:17,3/28/2016 2:16,3/28/2016 2:23,3/28/2016 2:31,0:07:05,0:15:13,A,2,1,3, $-   , $-   , $-   , $-   
16-0002248,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,3/28/2016 5:24,3/28/2016 5:24,3/28/2016 5:27,3/28/2016 5:44,0:03:33,0:20:37,A,4,1,5, $-   , $-   , $-   , $-   
16-0002249,419,1- or 2-family dwelling.,Residential,733,No Hazard,ALARM,None,3/28/2016 5:54,3/28/2016 5:53,3/28/2016 6:00,3/28/2016 6:03,0:07:15,0:09:55,A,3,2,7, $-   , $-   , $-   , $-   
16-0002250,963,Street or road in commercial area.,Outside,324,Hazard,MVA,None,3/28/2016 8:50,3/28/2016 8:49,3/28/2016 8:53,3/28/2016 9:16,0:03:40,0:26:47,B,5,2,7, $-   , $-   , $-   , $-   
16-0002251,UUU,Undetermined.,Other,311,Medical,EMS,Automatic Aid Given,3/28/2016 9:11,3/28/2016 9:10,3/28/2016 9:15,3/28/2016 9:25,0:04:54,0:15:27,B,WWFD,1,3, $-   , $-   , $-   , $-   
16-0002252,960,"Street, other.",Outside,322,Hazard,MVA,None,3/28/2016 10:06,3/28/2016 10:05,3/28/2016 10:09,3/28/2016 10:28,0:03:49,0:22:59,B,3,2,7, $-   , $-   , $-   , $-   
16-0002253,429,Multifamily dwelling.,Residential,600,No Hazard,GOOD INTENT,None,3/28/2016 11:52,3/28/2016 11:50,3/28/2016 12:00,3/28/2016 12:06,0:09:25,0:15:20,B,1,1,4, $-   , $-   , $-   , $-   
16-0002254,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,3/28/2016 12:34,3/28/2016 12:33,3/28/2016 12:38,3/28/2016 13:05,0:05:18,0:32:18,B,9,1,4, $-   , $-   , $-   , $-   
16-0002255,141,Athletic or health club.,Assembly,321,Medical,EMS,None,3/28/2016 12:49,3/28/2016 12:48,3/28/2016 12:53,3/28/2016 13:06,0:05:05,0:17:34,B,1,1,4, $-   , $-   , $-   , $-   
16-0002256,419,1- or 2-family dwelling.,Residential,736,No Hazard,ALARM,None,3/28/2016 14:00,3/28/2016 13:59,3/28/2016 14:06,3/28/2016 14:20,0:07:26,0:20:58,B,3,3,8, $-   , $-   , $-   , $-   
16-0002257,500,"Mercantile, business, other.",Business,321,Medical,EMS,None,3/28/2016 14:31,3/28/2016 14:30,3/28/2016 14:34,3/28/2016 14:44,0:03:30,0:14:20,B,1,1,4, $-   , $-   , $-   , $-   
16-0002258,UUU,Undetermined.,Other,611,No Hazard,GOOD INTENT,Automatic Aid Given,3/28/2016 14:39,3/28/2016 14:38,3/28/2016 14:42,3/28/2016 14:50,0:04:13,0:11:28,B,FWFD,2,6, $-   , $-   , $-   , $-   
16-0002259,419,1- or 2-family dwelling.,Residential,746,No Hazard,ALARM,None,3/28/2016 14:51,3/28/2016 14:49,3/28/2016 14:57,3/28/2016 15:11,0:07:49,0:21:32,B,5,2,7, $-   , $-   , $-   , $-   
16-0002260,419,1- or 2-family dwelling.,Residential,743,No Hazard,ALARM,None,3/28/2016 14:57,3/28/2016 14:57,3/28/2016 15:02,3/28/2016 15:06,0:04:48,0:09:33,B,7,3,11, $-   , $-   , $-   , $-   
16-0002262,519,"Food and beverage sales, grocery store.",Business,321,Medical,EMS,None,3/28/2016 16:05,3/28/2016 16:03,3/28/2016 16:06,3/28/2016 16:20,0:02:29,0:16:47,B,7,1,3, $-   , $-   , $-   , $-   
16-0002263,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,3/28/2016 17:24,3/28/2016 17:23,3/28/2016 17:28,3/28/2016 17:37,0:04:27,0:13:37,B,4,1,4, $-   , $-   , $-   , $-   
16-0002264,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,3/28/2016 17:28,3/28/2016 17:28,3/28/2016 17:32,3/28/2016 17:47,0:04:46,0:19:53,B,8,1,4, $-   , $-   , $-   , $-   
16-0002265,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/28/2016 18:02,3/28/2016 18:02,3/28/2016 18:06,3/28/2016 18:18,0:04:20,0:16:07,B,8,1,4, $-   , $-   , $-   , $-   
16-0002266,100,"Assembly, other.",Assembly,321,Medical,EMS,None,3/28/2016 19:08,3/28/2016 19:06,3/28/2016 19:13,3/28/2016 19:25,0:06:14,0:18:48,B,3,1,4, $-   , $-   , $-   , $-   
16-0002267,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,3/28/2016 19:24,3/28/2016 19:23,3/28/2016 19:30,3/28/2016 19:50,0:07:00,0:27:10,B,7,1,3, $-   , $-   , $-   , $-   
16-0002268,961,Highway or divided highway.,Outside,651,No Hazard,GOOD INTENT,Automatic Aid Received,3/28/2016 20:27,3/28/2016 20:25,3/28/2016 20:31,3/28/2016 20:54,0:06:03,0:29:18,B,1,1,4, $-   , $-   , $-   , $-   
16-0002269,161,Restaurant or cafeteria.,Assembly,321,Medical,EMS,None,3/28/2016 20:51,3/28/2016 20:51,3/28/2016 20:56,3/28/2016 21:13,0:05:09,0:22:03,B,1,2,7, $-   , $-   , $-   , $-   
16-0002270,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,3/28/2016 21:15,3/28/2016 21:15,3/28/2016 21:20,3/28/2016 21:41,0:05:05,0:26:05,B,1,2,7, $-   , $-   , $-   , $-   
16-0002271,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/29/2016 0:01,3/29/2016 0:00,3/29/2016 0:05,3/29/2016 0:45,0:05:08,0:44:32,B,7,1,3, $-   , $-   , $-   , $-   
16-0002272,UUU,Undetermined.,Other,412,Special Ops,HAZARDOUS MATERIAL,Automatic Aid Given,3/29/2016 0:36,3/29/2016 0:35,3/29/2016 0:45,3/29/2016 0:51,0:09:56,0:16:04,B,MVFD,3,8, $-   , $-   , $-   , $-   
16-0002273,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/29/2016 3:33,3/29/2016 3:33,3/29/2016 3:38,3/29/2016 3:58,0:05:09,0:25:06,B,7,1,3, $-   , $-   , $-   , $-   
16-0002274,419,1- or 2-family dwelling.,Residential,671,No Hazard,GOOD INTENT,None,3/29/2016 6:56,3/29/2016 6:55,3/29/2016 7:01,3/29/2016 7:24,0:06:23,0:28:56,B,3,2,8, $-   , $-   , $-   , $-   
16-0002275,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/29/2016 8:02,3/29/2016 8:01,3/29/2016 8:06,3/29/2016 8:16,0:04:59,0:14:06,A,7,1,3, $-   , $-   , $-   , $-   
16-0002276,599,Business office.,Business,321,Medical,EMS,None,3/29/2016 8:41,3/29/2016 8:41,3/29/2016 8:46,3/29/2016 9:00,0:04:54,0:19:27,A,1,1,4, $-   , $-   , $-   , $-   
16-0002277,449,"Hotel/Motel, commercial.",Residential,321,Medical,EMS,None,3/29/2016 10:14,3/29/2016 10:13,3/29/2016 10:18,3/29/2016 10:23,0:05:29,0:10:44,A,9,1,4, $-   , $-   , $-   , $-   
16-0002278,599,Business office.,Business,510,No Hazard,ASSIST,None,3/29/2016 12:32,3/29/2016 12:30,3/29/2016 12:38,3/29/2016 12:41,0:08:02,0:10:54,A,3,1,4, $-   , $-   , $-   , $-   
16-0002279,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,3/29/2016 13:14,3/29/2016 13:13,3/29/2016 13:15,3/29/2016 13:26,0:01:56,0:13:05,A,4,1,4, $-   , $-   , $-   , $-   
16-0002280,960,"Street, other.",Outside,500,No Hazard,ASSIST,Automatic Aid Given,3/29/2016 14:42,3/29/2016 14:41,3/29/2016 14:45,3/29/2016 15:20,0:04:25,0:39:15,A,FWFD,1,4, $-   , $-   , $-   , $-   
16-0002281,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,Automatic Aid Given,3/29/2016 15:04,3/29/2016 15:03,3/29/2016 15:07,3/29/2016 15:20,0:03:27,0:16:41,A,FWFD,1,3, $-   , $-   , $-   , $-   
16-0002282,700,"Manufacturing, processing.",Manufacturing,321,Medical,EMS,None,3/29/2016 16:54,3/29/2016 16:54,3/29/2016 16:57,3/29/2016 17:06,0:03:24,0:12:28,A,4,1,4, $-   , $-   , $-   , $-   
16-0002283,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,3/29/2016 17:05,3/29/2016 17:04,3/29/2016 17:08,3/29/2016 17:26,0:03:51,0:21:31,A,3,1,4, $-   , $-   , $-   , $-   
16-0002284,500,"Mercantile, business, other.",Business,311,Medical,EMS,None,3/29/2016 17:10,3/29/2016 17:09,3/29/2016 17:15,3/29/2016 17:29,0:06:02,0:19:55,A,9,1,5, $-   , $-   , $-   , $-   
16-0002285,962,"Residential street, road.",Outside,412,Special Ops,HAZARDOUS MATERIAL,None,3/29/2016 17:40,3/29/2016 17:39,3/29/2016 17:44,3/29/2016 19:21,0:05:15,1:41:56,A,2,4,11, $-   , $-   , $-   , $-   
16-0002286,961,Highway or divided highway.,Outside,324,Hazard,MVA,None,3/29/2016 18:56,3/29/2016 18:54,3/29/2016 18:59,3/29/2016 19:28,0:05:03,0:33:35,A,5,2,7, $-   , $-   , $-   , $-   
16-0002287,UUU,Undetermined.,Other,611,No Hazard,GOOD INTENT,Automatic Aid Given,3/29/2016 20:09,3/29/2016 20:07,,3/29/2016 20:11,,0:03:33,A,6,1,4, $-   , $-   , $-   , $-   
16-0002288,419,1- or 2-family dwelling.,Residential,631,No Hazard,GOOD INTENT,None,3/29/2016 20:32,3/29/2016 20:31,3/29/2016 20:38,3/29/2016 20:46,0:07:08,0:14:36,A,5,3,9, $-   , $-   , $-   , $-   
16-0002290,419,1- or 2-family dwelling.,Residential,671,No Hazard,GOOD INTENT,None,3/29/2016 22:36,3/29/2016 22:35,3/29/2016 22:41,3/29/2016 23:26,0:05:39,0:50:57,A,2,4,11, $-   , $-   , $-   , $-   
16-0002291,429,Multifamily dwelling.,Residential,341,Special Ops,TECH RESCUE,None,3/30/2016 0:02,3/30/2016 0:02,3/30/2016 0:07,3/30/2016 1:01,0:05:01,0:59:36,A,7,2,4, $-   , $-   , $-   , $-   
16-0002292,100,"Assembly, other.",Assembly,622,No Hazard,GOOD INTENT,None,3/30/2016 0:03,3/30/2016 0:03,3/30/2016 0:08,3/30/2016 0:16,0:05:17,0:13:33,A,4,3,9, $-   , $-   , $-   , $-   
16-0002293,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/30/2016 0:26,3/30/2016 0:26,3/30/2016 0:30,3/30/2016 0:41,0:04:14,0:15:44,A,9,1,4, $-   , $-   , $-   , $-   
16-0002294,300,"Health care, detention, and correction.",Health Care or Detention,311,Medical,EMS,None,3/30/2016 6:48,3/30/2016 6:47,3/30/2016 6:51,3/30/2016 7:04,0:03:21,0:16:19,A,5,1,4, $-   , $-   , $-   , $-   
16-0002295,419,1- or 2-family dwelling.,Residential,111,Fire,STRUCTURE,Automatic Aid Received,3/30/2016 7:43,3/30/2016 7:43,3/30/2016 7:48,3/30/2016 11:46,0:05:37,4:03:25,B,9,6,20,"$101,402 ","$101,402 ","$50,000 ","$50,000 "
16-0002296,300,"Health care, detention, and correction.",Health Care or Detention,731,No Hazard,ALARM,None,3/30/2016 8:35,3/30/2016 8:34,3/30/2016 8:40,3/30/2016 9:05,0:06:07,0:31:15,B,2,5,16, $-   , $-   , $-   , $-   
16-0002297,141,Athletic or health club.,Assembly,321,Medical,EMS,None,3/30/2016 9:31,3/30/2016 9:30,3/30/2016 9:34,3/30/2016 9:46,0:04:11,0:15:34,B,3,1,4, $-   , $-   , $-   , $-   
16-0002298,599,Business office.,Business,743,No Hazard,ALARM,Automatic Aid Received,3/30/2016 9:57,3/30/2016 9:54,3/30/2016 10:08,3/30/2016 10:15,0:14:15,0:21:12,B,1,2,8, $-   , $-   , $-   , $-   
16-0002299,519,"Food and beverage sales, grocery store.",Business,321,Medical,EMS,None,3/30/2016 9:56,3/30/2016 9:55,3/30/2016 9:59,3/30/2016 10:24,0:04:28,0:28:53,B,3,2,7, $-   , $-   , $-   , $-   
16-0002300,419,1- or 2-family dwelling.,Residential,113,Fire,STRUCTURE,Automatic Aid Received,3/30/2016 10:39,3/30/2016 10:37,3/30/2016 10:44,3/30/2016 11:14,0:07:03,0:37:28,B,6,6,19,"$364,134 ",$100 ,"$100,000 ",$100 
16-0002301,700,"Manufacturing, processing.",Manufacturing,321,Medical,EMS,None,3/30/2016 10:48,3/30/2016 10:47,3/30/2016 10:50,3/30/2016 11:06,0:03:09,0:19:00,B,2,1,4, $-   , $-   , $-   , $-   
16-0002302,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/30/2016 11:03,3/30/2016 11:03,3/30/2016 11:07,3/30/2016 11:16,0:04:17,0:13:49,B,8,1,5, $-   , $-   , $-   , $-   
16-0002303,100,"Assembly, other.",Assembly,321,Medical,EMS,None,3/30/2016 12:15,3/30/2016 12:14,3/30/2016 12:18,3/30/2016 12:49,0:04:20,0:35:38,B,4,1,4, $-   , $-   , $-   , $-   
16-0002304,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,3/30/2016 13:23,3/30/2016 13:22,3/30/2016 13:26,3/30/2016 13:36,0:03:56,0:13:13,B,4,1,4, $-   , $-   , $-   , $-   
16-0002305,599,Business office.,Business,321,Medical,EMS,None,3/30/2016 14:02,3/30/2016 14:01,3/30/2016 14:07,3/30/2016 14:26,0:06:12,0:25:16,B,1,1,4, $-   , $-   , $-   , $-   
16-0002307,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/30/2016 15:00,3/30/2016 15:00,3/30/2016 15:04,3/30/2016 15:38,0:04:27,0:38:00,B,5,1,4, $-   , $-   , $-   , $-   
16-0002308,599,Business office.,Business,321,Medical,EMS,None,3/30/2016 15:47,3/30/2016 15:45,3/30/2016 15:52,3/30/2016 16:02,0:06:59,0:16:59,B,3,1,4, $-   , $-   , $-   , $-   
16-0002309,419,1- or 2-family dwelling.,Residential,142,Fire,BRUSH FIRE,None,3/30/2016 15:55,3/30/2016 15:54,3/30/2016 15:57,3/30/2016 16:10,0:03:11,0:16:22,B,3,3,8, $-   , $-   , $-   , $-   
16-0002310,213,Elementary school.,Educational,311,Medical,EMS,None,3/30/2016 16:04,3/30/2016 16:03,3/30/2016 16:06,3/30/2016 16:20,0:02:43,0:16:15,B,9,1,4, $-   , $-   , $-   , $-   
16-0002311,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/30/2016 17:04,3/30/2016 17:04,3/30/2016 17:08,3/30/2016 17:15,0:04:43,0:11:18,B,4,1,4, $-   , $-   , $-   , $-   
16-0002312,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,3/30/2016 17:03,3/30/2016 17:02,3/30/2016 17:09,3/30/2016 17:19,0:06:34,0:17:13,B,4,1,4, $-   , $-   , $-   , $-   
16-0002313,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,3/30/2016 18:50,3/30/2016 18:50,3/30/2016 18:54,3/30/2016 19:04,0:03:57,0:14:36,B,3,1,4, $-   , $-   , $-   , $-   
16-0002314,419,1- or 2-family dwelling.,Residential,522,No Hazard,ASSIST,None,3/30/2016 19:03,3/30/2016 19:03,3/30/2016 19:03,3/30/2016 19:42,0:00:12,0:39:03,B,9,1,4, $-   , $-   , $-   , $-   
16-0002315,311,"Nursing homes licensed by the State,.",Health Care or Detention,311,Medical,EMS,None,3/30/2016 19:05,3/30/2016 19:04,3/30/2016 19:05,3/30/2016 19:23,0:00:13,0:18:16,B,3,1,4, $-   , $-   , $-   , $-   
16-0002316,449,"Hotel/Motel, commercial.",Residential,745,No Hazard,ALARM,None,3/30/2016 21:46,3/30/2016 21:45,3/30/2016 21:50,3/30/2016 22:11,0:04:54,0:25:32,B,3,4,12, $-   , $-   , $-   , $-   
16-0002317,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,3/30/2016 23:09,3/30/2016 23:09,3/30/2016 23:13,3/30/2016 23:24,0:04:45,0:15:40,B,3,1,4, $-   , $-   , $-   , $-   
16-0002318,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,Automatic Aid Given,3/30/2016 23:17,3/30/2016 23:16,3/30/2016 23:24,3/30/2016 23:59,0:07:48,0:42:57,B,FWFD,1,3, $-   , $-   , $-   , $-   
16-0002319,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/31/2016 3:18,3/31/2016 3:17,3/31/2016 3:23,3/31/2016 3:45,0:05:41,0:28:04,B,3,1,4, $-   , $-   , $-   , $-   
16-0002320,511,Convenience store.,Business,622,No Hazard,GOOD INTENT,None,3/31/2016 6:29,3/31/2016 6:29,3/31/2016 6:32,3/31/2016 6:38,0:03:36,0:09:40,B,9,1,4, $-   , $-   , $-   , $-   
16-0002321,215,"High school, junior high, middle school.",Educational,733,No Hazard,ALARM,None,3/31/2016 6:35,3/31/2016 6:34,3/31/2016 6:39,3/31/2016 7:02,0:05:46,0:28:37,B,5,4,13, $-   , $-   , $-   , $-   
16-0002322,511,Convenience store.,Business,311,Medical,EMS,None,3/31/2016 6:43,3/31/2016 6:43,3/31/2016 6:47,3/31/2016 6:52,0:03:25,0:08:33,B,9,1,4, $-   , $-   , $-   , $-   
16-0002323,961,Highway or divided highway.,Outside,324,Hazard,MVA,Automatic Aid Given,3/31/2016 6:51,3/31/2016 6:50,3/31/2016 6:55,3/31/2016 7:34,0:04:51,0:44:00,B,1,3,12, $-   , $-   , $-   , $-   
16-0002324,983,"Pipeline, power line, or other utility.",Outside,445,Hazard,HAZARDOUS CONDITION,None,3/31/2016 7:03,3/31/2016 7:02,3/31/2016 7:10,3/31/2016 9:02,0:08:29,2:00:35,C,4,1,8, $-   , $-   , $-   , $-   
16-0002325,961,Highway or divided highway.,Outside,352,Hazard,MVA,Automatic Aid Given,3/31/2016 7:04,3/31/2016 7:02,3/31/2016 7:06,3/31/2016 9:34,0:04:08,2:32:00,B,APFD,3,9, $-   , $-   , $-   , $-   
16-0002326,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/31/2016 7:10,3/31/2016 7:10,3/31/2016 7:16,3/31/2016 8:05,0:06:22,0:55:04,B,5,1,4, $-   , $-   , $-   , $-   
16-0002327,311,"Nursing homes licensed by the State,.",Health Care or Detention,311,Medical,EMS,None,3/31/2016 9:12,3/31/2016 9:12,3/31/2016 9:18,3/31/2016 9:21,0:06:17,0:09:21,C,4,1,4, $-   , $-   , $-   , $-   
16-0002328,141,Athletic or health club.,Assembly,321,Medical,EMS,None,3/31/2016 9:35,3/31/2016 9:34,3/31/2016 9:38,3/31/2016 9:49,0:03:39,0:14:31,C,9,1,4, $-   , $-   , $-   , $-   
16-0002329,599,Business office.,Business,321,Medical,EMS,None,3/31/2016 12:05,3/31/2016 12:04,3/31/2016 12:08,3/31/2016 12:25,0:03:45,0:20:02,C,5,1,4, $-   , $-   , $-   , $-   
16-0002330,161,Restaurant or cafeteria.,Assembly,321,Medical,EMS,None,3/31/2016 12:15,3/31/2016 12:15,3/31/2016 12:21,3/31/2016 12:33,0:05:59,0:18:05,C,9,1,4, $-   , $-   , $-   , $-   
16-0002331,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/31/2016 13:11,3/31/2016 13:10,3/31/2016 13:15,3/31/2016 13:29,0:04:32,0:18:49,C,5,1,4, $-   , $-   , $-   , $-   
16-0002332,142,Clubhouse associated with country club.,Assembly,321,Medical,EMS,None,3/31/2016 13:18,3/31/2016 13:18,3/31/2016 13:22,3/31/2016 13:42,0:03:53,0:23:58,C,5,1,4, $-   , $-   , $-   , $-   
16-0002334,511,Convenience store.,Business,311,Medical,EMS,None,3/31/2016 14:58,3/31/2016 14:58,3/31/2016 15:03,3/31/2016 15:17,0:04:49,0:19:20,C,4,1,4, $-   , $-   , $-   , $-   
16-0002335,581,Department or discount store.,Business,511,No Hazard,ASSIST,None,3/31/2016 16:13,3/31/2016 16:11,3/31/2016 16:18,3/31/2016 16:28,0:06:50,0:16:56,C,9,1,4, $-   , $-   , $-   , $-   
16-0002336,419,1- or 2-family dwelling.,Residential,300,Medical,EMS,None,3/31/2016 16:26,3/31/2016 16:26,3/31/2016 16:33,3/31/2016 16:40,0:07:32,0:14:23,C,9,1,3, $-   , $-   , $-   , $-   
16-0002337,962,"Residential street, road.",Outside,463,Hazard,MVA,None,3/31/2016 16:30,3/31/2016 16:30,3/31/2016 16:30,3/31/2016 17:02,0:00:17,0:32:10,C,6,1,5, $-   , $-   , $-   , $-   
16-0002338,500,"Mercantile, business, other.",Business,131,Fire,VEHICLE,None,3/31/2016 18:22,3/31/2016 18:20,3/31/2016 18:25,3/31/2016 18:44,0:04:50,0:23:24,C,3,1,4,"$10,000 ",$20 ,"$1,000 ", $-   
16-0002339,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,3/31/2016 23:29,3/31/2016 23:29,3/31/2016 23:36,3/31/2016 23:48,0:06:46,0:18:55,C,8,1,4, $-   , $-   , $-   , $-   
16-0002340,449,"Hotel/Motel, commercial.",Residential,651,No Hazard,GOOD INTENT,Automatic Aid Received,4/1/2016 1:18,4/1/2016 1:18,4/1/2016 1:23,4/1/2016 2:25,0:05:05,1:06:47,C,1,8,23, $-   , $-   , $-   , $-   
16-0002341,700,"Manufacturing, processing.",Manufacturing,311,Medical,EMS,None,4/1/2016 1:34,4/1/2016 1:34,4/1/2016 1:48,4/1/2016 1:54,0:13:35,0:20:05,C,1,1,4, $-   , $-   , $-   , $-   
16-0002342,599,Business office.,Business,321,Medical,EMS,None,4/1/2016 2:48,4/1/2016 2:48,4/1/2016 2:52,4/1/2016 3:09,0:03:57,0:20:47,C,2,1,3, $-   , $-   , $-   , $-   
16-0002344,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,4/1/2016 5:01,4/1/2016 5:00,4/1/2016 5:06,4/1/2016 5:14,0:06:26,0:14:13,C,5,1,4, $-   , $-   , $-   , $-   
16-0002345,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,4/1/2016 6:23,4/1/2016 6:23,4/1/2016 6:29,4/1/2016 6:43,0:06:33,0:20:39,C,3,1,4, $-   , $-   , $-   , $-   
16-0002346,961,Highway or divided highway.,Outside,611,No Hazard,GOOD INTENT,Automatic Aid Given,4/1/2016 6:43,4/1/2016 6:43,,4/1/2016 6:54,,0:11:08,C,1,4,11, $-   , $-   , $-   , $-   
16-0002349,599,Business office.,Business,730,No Hazard,ALARM,None,4/1/2016 9:11,4/1/2016 9:11,4/1/2016 9:17,4/1/2016 9:25,0:06:12,0:14:19,B,1,2,7, $-   , $-   , $-   , $-   
16-0002350,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,4/1/2016 9:36,4/1/2016 9:35,4/1/2016 9:40,4/1/2016 10:03,0:05:22,0:28:12,B,2,1,4, $-   , $-   , $-   , $-   
16-0002351,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,4/1/2016 10:10,4/1/2016 10:09,4/1/2016 10:13,4/1/2016 10:21,0:03:57,0:12:17,B,2,1,4, $-   , $-   , $-   , $-   
16-0002352,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,4/1/2016 10:34,4/1/2016 10:34,4/1/2016 10:39,4/1/2016 10:55,0:04:37,0:20:37,B,4,1,4, $-   , $-   , $-   , $-   
16-0002353,UUU,Undetermined.,Other,311,Medical,EMS,Automatic Aid Given,4/1/2016 11:08,4/1/2016 11:07,4/1/2016 11:10,4/1/2016 11:21,0:03:10,0:14:14,B,MVFD,2,7, $-   , $-   , $-   , $-   
16-0002354,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,4/1/2016 12:39,4/1/2016 12:38,4/1/2016 12:42,4/1/2016 12:59,0:04:33,0:21:21,B,3,1,4, $-   , $-   , $-   , $-   
16-0002355,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,Automatic Aid Given,4/1/2016 14:28,4/1/2016 14:27,4/1/2016 14:29,4/1/2016 14:32,0:02:06,0:05:02,B,FWFD,2,8, $-   , $-   , $-   , $-   
16-0002356,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,4/1/2016 14:44,4/1/2016 14:44,4/1/2016 14:47,4/1/2016 15:10,0:02:57,0:26:27,B,4,1,4, $-   , $-   , $-   , $-   
16-0002357,962,"Residential street, road.",Outside,352,Hazard,MVA,None,4/1/2016 14:51,4/1/2016 14:50,4/1/2016 14:53,4/1/2016 16:00,0:02:33,1:09:38,B,6,3,9, $-   , $-   , $-   , $-   
16-0002358,960,"Street, other.",Outside,324,Hazard,MVA,None,4/1/2016 14:59,4/1/2016 14:59,4/1/2016 15:02,4/1/2016 15:38,0:03:15,0:39:43,B,3,2,8, $-   , $-   , $-   , $-   
16-0002359,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,4/1/2016 16:43,4/1/2016 16:43,4/1/2016 16:50,4/1/2016 17:12,0:07:09,0:29:01,B,5,3,8, $-   , $-   , $-   , $-   
16-0002360,963,Street or road in commercial area.,Outside,322,Hazard,MVA,None,4/1/2016 16:55,4/1/2016 16:55,4/1/2016 16:57,4/1/2016 17:19,0:02:06,0:24:14,B,9,2,8, $-   , $-   , $-   , $-   
16-0002361,961,Highway or divided highway.,Outside,324,Hazard,MVA,None,4/1/2016 17:07,4/1/2016 17:07,4/1/2016 17:09,4/1/2016 18:03,0:02:26,0:56:07,B,4,4,13, $-   , $-   , $-   , $-   
16-0002363,500,"Mercantile, business, other.",Business,651,No Hazard,GOOD INTENT,Automatic Aid Received,4/1/2016 18:00,4/1/2016 17:59,4/1/2016 18:03,4/1/2016 18:29,0:03:51,0:30:23,B,2,8,24, $-   , $-   , $-   , $-   
16-0002364,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,None,4/1/2016 18:20,4/1/2016 18:19,,4/1/2016 18:25,,0:06:17,B,4,1,4, $-   , $-   , $-   , $-   
